CAS-PFSP-M1T3_36.cas, 5199950.17,5002235.20,5162047.92,5203424.54,5081337.12,5088720.38,5126889.34,5120195.20,5091205.54,5112385.05
CAS-PFSP-M1T3_37.cas, 5071232.96,5105401.08,5216182.48,5104154.38,5160805.86,5070896.77,5051723.67,5224854.53,5168469.89,5230823.21
CAS-PFSP-M1T3_38.cas, 5677181.03,5702784.23,5680561.12,5789070.56,5701558.23,5719700.54,5735498.48,5718522.90,5688410.49,5718115.47
CAS-PFSP-M1T3_39.cas, 3809424.14,3818624.21,3800845.37,3814031.19,3809842.03,3828231.07,3814411.70,3794988.45,3810079.37,3777775.65
CAS-PFSP-M1T3_40.cas, 5098540.33,5117599.66,5129120.54,5087498.61,5086856.27,5103725.01,5094046.79,5101026.75,5085246.94,5086031.36
CAS-PFSP-M1T3_41.cas, 3310397.61,3318281.39,3314872.91,3358777.88,3313894.15,3307413.14,3332687.81,3326254.50,3327161.94,3311707.01
CAS-PFSP-M1T3_42.cas, 6668212.98,6686502.06,6668927.92,6678547.04,6677510.34,6677629.38,6672832.62,6681302.21,6671958.48,6677507.49
CAS-PFSP-M1T3_43.cas, 6850429.09,6875671.00,6876115.10,6957730.86,6785165.76,6883541.12,6948767.76,6882049.10,6815303.57,6883756.43
CAS-PFSP-M1T3_44.cas, 8008942.44,8037107.07,8003629.72,8012900.36,8021359.11,8011647.51,8005010.57,8053254.45,8020072.66,8015935.44
CAS-PFSP-M1T3_45.cas, 7748654.17,7742041.86,7684640.55,7759431.66,7742764.94,7736547.91,7749464.78,7693343.31,7745473.90,7673056.26
CAS-PFSP-M1T3_46.cas, 7130663.84,7151836.13,7124434.42,7137172.40,7112520.68,7125094.78,7159603.68,7116446.63,7127192.87,7126144.97
CAS-PFSP-M1T3_47.cas, 5198545.34,5203203.19,5198471.73,5206516.23,5196062.88,5207814.35,5203390.44,5207632.99,5204825.47,5199868.35
CAS-PFSP-M1T3_48.cas, 4289627.20,4280004.97,4335804.63,4251191.97,4238648.15,4263548.76,4324068.96,4241750.73,4247266.68,4224775.82
CAS-PFSP-M1T3_49.cas, 10279173.71,10259306.67,10309786.95,10269528.36,10257602.26,10263396.34,10310438.48,10283680.27,10279828.36,10305993.28
CAS-PFSP-M1T3_50.cas, 4476008.97,4466456.96,4447255.19,4459523.52,4512194.85,4500625.84,4545487.89,4459835.80,4390464.06,4484943.44
