CAS-PFSP-M3T1_36.cas; 2687554.04;2685762.65;2711901.01;2669028.23;2678950.05;2692010.72;2683315.57;2697142.70;2668562.58;2697286.76
CAS-PFSP-M3T1_37.cas; 6000130.05;5877158.88;5880237.67;5936842.02;5936087.65;6022243.97;5977125.59;5982522.10;5984982.54;5897091.77
CAS-PFSP-M3T1_38.cas; 2425026.77;2487877.52;2485732.51;2487766.42;2483263.19;2468995.97;2487055.47;2487784.25;2491468.51;2488209.79
CAS-PFSP-M3T1_39.cas; 3090333.53;3095824.17;3088270.78;3093156.50;3094001.40;3089383.32;3094257.64;3089348.54;3097702.30;3097748.35
CAS-PFSP-M3T1_40.cas; 2005760.93;1928354.46;1912847.91;1811416.58;1793855.95;1819075.06;1741481.14;1989725.25;1809333.05;2134262.33
CAS-PFSP-M3T1_41.cas; 3147533.74;3161559.82;3151783.88;3150250.45;3161798.96;3154145.00;3154012.11;3147105.25;3155967.38;3154203.49
CAS-PFSP-M3T1_42.cas; 2378930.28;2379402.79;2362390.32;2397992.07;2379429.60;2410824.78;2372717.05;2382349.81;2387983.47;2387400.23
CAS-PFSP-M3T1_43.cas; 988763.45;990439.62;962711.79;955249.46;1008483.74;964708.48;898451.22;952696.36;935216.16;947647.80
CAS-PFSP-M3T1_44.cas; 7614677.42;7460422.78;7486486.69;7603375.03;7732632.24;7721102.85;7553578.26;7618101.15;7678955.09;7634519.05
CAS-PFSP-M3T1_45.cas; 2325748.48;2324863.91;2324142.59;2319315.11;2319508.47;2320177.83;2323728.61;2316885.26;2320464.03;2322410.35
CAS-PFSP-M3T1_46.cas; 1764003.64;1656488.77;1719027.56;1737196.73;1769127.87;1807343.57;1763448.16;1862558.04;1854486.59;1791847.60
CAS-PFSP-M3T1_47.cas; 2270690.17;2268326.37;2267807.32;2266247.78;2270231.03;2266855.67;2270451.76;2265203.09;2269300.67;2270849.18
CAS-PFSP-M3T1_48.cas; 5283779.58;5369843.91;5405682.00;5354031.12;5349314.73;5387759.19;5372303.47;5377539.97;5333757.01;5354243.06
CAS-PFSP-M3T1_49.cas; 2390710.00;2382022.56;2397753.66;2389283.32;2381907.58;2384816.65;2388402.38;2392292.55;2395996.78;2388671.27
CAS-PFSP-M3T1_50.cas; 1692810.65;1698831.90;1701003.67;1694842.66;1690483.64;1699154.94;1699306.46;1698253.78;1694071.75;1697876.89
