CAS-PFSP-M3T3_36.cas; 14545328.30;14370815.67;14098846.99;14487128.68;14415676.05;14484396.95;14267738.26;14419654.15;14433229.04;14379411.86
CAS-PFSP-M3T3_37.cas; 10581993.76;10611569.10;10680132.14;10444639.19;10467730.91;10628393.09;10580352.80;10613634.64;10755300.95;10323462.88
CAS-PFSP-M3T3_38.cas; 10885726.44;10872220.89;11042714.57;10946623.73;11132588.75;10894512.37;10938426.79;10988129.96;10984863.42;10753118.98
CAS-PFSP-M3T3_39.cas; 13999443.25;14226240.81;14161318.67;14048464.75;13952212.07;14420697.51;14166136.08;14307424.70;13775544.01;14045389.92
CAS-PFSP-M3T3_40.cas; 31739498.66;31769840.44;31724462.95;31663733.70;31850638.23;31592448.61;31747748.28;31778708.79;31563803.73;31623998.12
CAS-PFSP-M3T3_41.cas; 14904173.01;14288127.64;14776615.74;14429705.12;14500513.29;14857071.56;14011682.33;15052281.43;15142156.32;14805075.75
CAS-PFSP-M3T3_42.cas; 9075807.46;8997360.60;8766821.16;8804238.73;9032747.71;8938927.72;8851118.50;9071980.99;9146189.17;8922821.01
CAS-PFSP-M3T3_43.cas; 17828782.83;17151839.83;17302089.26;17786107.84;17151665.14;17461249.56;17219498.48;17330231.26;17282407.93;17704067.58
CAS-PFSP-M3T3_44.cas; 11791304.64;12049051.17;10904839.52;11545459.76;12205670.26;11647728.28;11836973.37;12012681.09;11254262.57;11469734.95
CAS-PFSP-M3T3_45.cas; 11329648.77;11247238.22;11385750.74;11372419.07;11187136.86;11228116.72;11264381.06;11286236.54;11259167.86;11267920.99
CAS-PFSP-M3T3_46.cas; 12805395.19;12858503.08;12808063.20;12828518.70;12663838.78;13162668.25;13130506.10;12804701.40;13056736.82;12942030.62
CAS-PFSP-M3T3_47.cas; 11163950.03;11167091.48;11106299.12;11143305.19;11131852.25;11141110.50;11175279.82;11158852.75;11156465.89;11127726.33
CAS-PFSP-M3T3_48.cas; 21870078.79;21691247.40;21648593.48;21549656.20;21996549.78;21655975.55;21966503.83;21965987.58;21831909.47;21721913.47
CAS-PFSP-M3T3_49.cas; 14059076.91;14302901.99;14056808.54;14325227.46;14229309.98;14156462.32;14217916.97;14205897.93;14192277.01;14119110.85
CAS-PFSP-M3T3_50.cas; 17313121.03;17930551.97;17782873.70;17938709.64;17617528.75;16949952.27;17925621.59;17717215.36;17280179.26;17640898.13
